block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-03-16,erc1155,18,818,830,1648,12,706912,0.00233127,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-17,erc1155,18,3918,3918,7836,0,706912,0.01108483,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-18,erc1155,18,3495,3495,6990,0,706912,0.00988808,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-19,erc1155,18,2386,2386,4772,0,706912,0.00675049,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-20,erc1155,18,572,512,1084,-60,706912,0.00153343,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-21,erc1155,18,2131,2189,4320,58,706912,0.00611109,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-22,erc1155,18,2583,2582,5165,-1,706912,0.00730643,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-23,erc1155,18,3529,3323,6852,-206,706912,0.00969286,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-24,erc1155,18,1745,1954,3699,209,706912,0.00523262,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-25,erc1155,18,1656,1656,3312,0,706912,0.00468517,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-26,erc1155,18,1502,1502,3004,0,706912,0.00424947,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-27,erc1155,18,24954,13675,38629,-11279,706912,0.05464471,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-28,erc1155,18,1949,5656,7605,3707,706912,0.01075806,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-01,erc1155,18,10407,16224,26631,5817,706912,0.03767230,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-02,erc1155,18,3392,2884,6276,-508,706912,0.00887805,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-03,erc1155,18,1741,4004,5745,2263,706912,0.00812690,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-04,erc1155,18,3081,3007,6088,-74,706912,0.00861210,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-05,erc1155,18,1441,1419,2860,-22,706912,0.00404577,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-06,erc1155,18,4188,1524,5712,-2664,706912,0.00808021,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-07,erc1155,18,1242,901,2143,-341,706912,0.00303149,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-08,erc1155,18,5093,1690,6783,-3403,706912,0.00959525,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-09,erc1155,18,911,1792,2703,881,706912,0.00382367,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-10,erc1155,18,1413,942,2355,-471,706912,0.00333139,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-11,erc1155,18,2287,906,3193,-1381,706912,0.00451683,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-12,erc1155,18,6527,760,7287,-5767,706912,0.01030821,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-13,erc1155,18,1960,359,2319,-1601,706912,0.00328046,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-14,erc1155,18,2251,5207,7458,2956,706912,0.01055011,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-15,erc1155,18,420,4544,4964,4124,706912,0.00702209,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
